"service","messageFamily","albumIdentifier","category","categoryLabel","originRelease","finalPublicationRelease","effectiveSourceRelease","originBaseMessage","originBasis","priorFamilyBaseMessage","finalBaseMessage","originUGVersion","finalUGVersion","baseVersionChanged","ugVersionChanged","xsdStructureChanged","totalDelta","delta_pathsAdded","delta_pathsRemoved","delta_pathsChanged","delta_simpleTypesAdded","delta_simpleTypesRemoved","delta_simpleTypesChanged","delta_complexTypesAdded","delta_complexTypesRemoved","delta_complexTypesChanged","matchedCRs","crRationale","priorLocalArchiveStatus","priorLocalArchiveLatestRelease","priorLocalArchiveEvidence","priorLocalArchiveCount","mystandardsHistoryStatus","mystandardsHistoryType","mystandardsHistoryEvidence","mystandardsHistoryCount","effectiveNote"
"RTGS","camt.012.001","RTGS_Limit","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.012.001.08","R2026.JUN package","","camt.012.001.08","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.018.001","RTGS_GetReturnBusinessDayInformationReturnGeneralBusinessInformation","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.018.001.05","R2026.JUN package","","camt.018.001.05","55","55","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.019.001","RTGS_GetReturnBusinessDayInformationReturnGeneralBusinessInformation","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.019.001.07","R2026.JUN package","","camt.019.001.07","55","55","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.021.001","RTGS_GetReturnBusinessDayInformationReturnGeneralBusinessInformation","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.021.001.06","R2026.JUN package","","camt.021.001.06","55","55","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.046.001","RTGS_Reservation","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.046.001.08","R2026.JUN package","","camt.046.001.08","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.047.001","RTGS_Reservation","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.047.001.08","R2026.JUN package","","camt.047.001.08","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.048.001","RTGS_Reservation","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.048.001.07","R2026.JUN package","","camt.048.001.07","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.049.001","RTGS_Reservation","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.049.001.07","R2026.JUN package","","camt.049.001.07","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.050.001","RTGS_LiquidityTransfer","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.050.001.07","R2026.JUN package","","camt.050.001.07","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","draft3head.002.001","RTGS_BusinessFileHeader","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","draft3head.002.001.01","R2026.JUN package","","draft3head.002.001.01","42","42","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
